IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.223.113.114,80,80,false,HKG,Asia Pacific,Hong Kong,21,41.68
38.207.132.173,51846,443,true,HKG,Asia Pacific,Hong Kong,46,25.26
8.222.65.22,80,80,false,HKG,Asia Pacific,Hong Kong,70,23.64
38.207.132.192,44378,443,true,HKG,Asia Pacific,Hong Kong,43,23.06
38.207.132.192,49824,443,true,HKG,Asia Pacific,Hong Kong,44,21.91
38.207.132.2,29149,443,true,HKG,Asia Pacific,Hong Kong,50,20.98
38.207.132.173,58152,443,true,HKG,Asia Pacific,Hong Kong,48,20.28
38.207.132.192,11499,443,true,HKG,Asia Pacific,Hong Kong,56,19.46
38.207.132.209,27709,443,true,HKG,Asia Pacific,Hong Kong,42,19.11
38.207.132.99,25127,443,true,HKG,Asia Pacific,Hong Kong,55,18.98
38.207.132.209,50729,443,true,HKG,Asia Pacific,Hong Kong,42,18.69
38.207.132.173,14648,443,true,HKG,Asia Pacific,Hong Kong,45,18.45
38.207.132.2,44348,443,true,HKG,Asia Pacific,Hong Kong,46,17.38
38.207.132.250,12381,443,true,HKG,Asia Pacific,Hong Kong,47,17.35
38.207.132.2,43330,443,true,HKG,Asia Pacific,Hong Kong,51,17.03
38.207.132.173,12365,443,true,HKG,Asia Pacific,Hong Kong,47,16.57
38.207.132.209,53757,443,true,HKG,Asia Pacific,Hong Kong,52,16.38
45.87.103.78,19527,443,true,HKG,Asia Pacific,Hong Kong,66,16.04
38.207.132.192,45880,443,true,HKG,Asia Pacific,Hong Kong,54,15.44
38.207.132.99,53787,443,true,HKG,Asia Pacific,Hong Kong,52,15.28
38.207.132.173,24452,443,true,HKG,Asia Pacific,Hong Kong,54,14.65
38.207.132.2,58150,443,true,HKG,Asia Pacific,Hong Kong,47,14.43
38.207.132.99,53448,443,true,HKG,Asia Pacific,Hong Kong,54,13.92
38.207.132.173,13564,443,true,HKG,Asia Pacific,Hong Kong,43,13.82
38.207.132.250,42973,443,true,HKG,Asia Pacific,Hong Kong,51,13.81
38.207.132.92,43678,443,true,HKG,Asia Pacific,Hong Kong,55,13.75
38.207.132.173,44112,443,true,HKG,Asia Pacific,Hong Kong,52,12.72
38.207.132.173,48548,443,true,HKG,Asia Pacific,Hong Kong,46,12.66
38.207.132.173,39682,443,true,HKG,Asia Pacific,Hong Kong,52,11.53
38.207.132.173,45448,443,true,HKG,Asia Pacific,Hong Kong,56,11.44
38.207.132.192,31089,443,true,HKG,Asia Pacific,Hong Kong,44,10.89
38.207.132.209,35799,443,true,HKG,Asia Pacific,Hong Kong,44,9.00
154.3.38.140,22387,80,false,HKG,Asia Pacific,Hong Kong,100,8.74
8.213.145.176,80,80,false,HKG,Asia Pacific,Hong Kong,69,8.32
43.129.171.137,80,80,false,HKG,Asia Pacific,Hong Kong,51,6.24
38.207.132.2,12573,443,true,HKG,Asia Pacific,Hong Kong,45,6.06
38.207.132.92,30216,443,true,HKG,Asia Pacific,Hong Kong,45,5.78
47.237.126.88,80,80,false,HKG,Asia Pacific,Hong Kong,252,4.65
38.207.132.209,22153,443,true,HKG,Asia Pacific,Hong Kong,45,4.14
43.154.96.33,80,80,false,HKG,Asia Pacific,Hong Kong,43,3.88
46.3.105.223,25629,443,true,HKG,Asia Pacific,Hong Kong,50,3.61
47.236.162.30,80,80,false,HKG,Asia Pacific,Hong Kong,231,3.36
89.213.239.190,48832,443,true,HKG,Asia Pacific,Hong Kong,264,2.41
202.181.24.171,2023,80,false,HKG,Asia Pacific,Hong Kong,22,1.90
103.229.124.246,3616,80,false,HKG,Asia Pacific,Hong Kong,22,1.10
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,252,0.59
141.11.90.170,45121,8443,true,HKG,Asia Pacific,Hong Kong,260,0.51
47.57.13.107,80,80,false,HKG,Asia Pacific,Hong Kong,23,0.26
8.223.39.101,443,443,true,HKG,Asia Pacific,Hong Kong,20,0.13
8.220.183.51,80,80,false,HKG,Asia Pacific,Hong Kong,359,0.13
152.32.240.153,34237,2096,true,HKG,Asia Pacific,Hong Kong,41,0.12
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,21,0.11
45.152.64.147,36031,443,true,HKG,Asia Pacific,Hong Kong,82,0.10
103.149.27.36,34237,2096,true,HKG,Asia Pacific,Hong Kong,54,0.06
206.237.20.121,50714,443,true,HKG,Asia Pacific,Hong Kong,22,0.01
45.153.130.103,8024,80,false,HKG,Asia Pacific,Hong Kong,21,0.01
183.232.159.226,2052,2086,false,HKG,Asia Pacific,Hong Kong,20,0.00
43.240.13.199,41846,443,true,HKG,Asia Pacific,Hong Kong,24,0.00
38.6.167.31,12666,443,true,HKG,Asia Pacific,Hong Kong,178,0.00
165.154.43.92,35184,443,true,HKG,Asia Pacific,Hong Kong,43,0.00
38.207.132.99,43412,443,true,HKG,Asia Pacific,Hong Kong,53,0.00
