IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
157.254.53.50,80,80,FALSE,HKG,Asia Pacific,Hong Kong,22,44.21
8.223.72.252,80,80,FALSE,HKG,Asia Pacific,Hong Kong,25,34.6
38.207.132.99,23615,443,TRUE,HKG,Asia Pacific,Hong Kong,47,29.51
38.207.132.99,53448,443,TRUE,HKG,Asia Pacific,Hong Kong,42,28.71
38.207.132.192,31301,443,TRUE,HKG,Asia Pacific,Hong Kong,40,28.34
38.207.132.173,12365,443,TRUE,HKG,Asia Pacific,Hong Kong,47,27.74
38.207.132.250,53831,443,TRUE,HKG,Asia Pacific,Hong Kong,52,27.65
38.207.132.250,42973,443,TRUE,HKG,Asia Pacific,Hong Kong,38,27.6
38.207.132.192,28141,443,TRUE,HKG,Asia Pacific,Hong Kong,38,27.34
38.207.132.250,34694,443,TRUE,HKG,Asia Pacific,Hong Kong,44,26.72
38.207.132.92,49877,443,TRUE,HKG,Asia Pacific,Hong Kong,49,26.3
38.207.132.92,47509,443,TRUE,HKG,Asia Pacific,Hong Kong,47,26.19
38.207.132.209,44946,443,TRUE,HKG,Asia Pacific,Hong Kong,50,25.78
38.207.132.173,52273,443,TRUE,HKG,Asia Pacific,Hong Kong,49,24.77
38.207.132.173,13564,443,TRUE,HKG,Asia Pacific,Hong Kong,52,24.64
38.207.132.192,49824,443,TRUE,HKG,Asia Pacific,Hong Kong,52,24.53
38.207.132.209,47761,443,TRUE,HKG,Asia Pacific,Hong Kong,48,23.9
8.222.65.22,80,80,FALSE,HKG,Asia Pacific,Hong Kong,66,23.6
38.207.132.92,18241,443,TRUE,HKG,Asia Pacific,Hong Kong,53,21.33
46.3.105.223,25629,443,TRUE,HKG,Asia Pacific,Hong Kong,12,21.32
38.207.132.192,11499,443,TRUE,HKG,Asia Pacific,Hong Kong,49,19.39
38.207.132.2,25200,443,TRUE,HKG,Asia Pacific,Hong Kong,50,19.18
38.207.132.209,16327,443,TRUE,HKG,Asia Pacific,Hong Kong,49,18.51
38.207.132.209,33119,443,TRUE,HKG,Asia Pacific,Hong Kong,54,18.08
38.207.132.209,24729,443,TRUE,HKG,Asia Pacific,Hong Kong,49,18.03
38.207.132.2,29149,443,TRUE,HKG,Asia Pacific,Hong Kong,45,17.05
38.207.132.2,21333,443,TRUE,HKG,Asia Pacific,Hong Kong,48,17.03
38.207.132.92,26738,443,TRUE,HKG,Asia Pacific,Hong Kong,49,16.29
38.207.132.173,48548,443,TRUE,HKG,Asia Pacific,Hong Kong,53,16.19
38.207.132.2,44348,443,TRUE,HKG,Asia Pacific,Hong Kong,54,16.14
38.207.132.173,51846,443,TRUE,HKG,Asia Pacific,Hong Kong,54,15.96
38.207.132.3,59449,443,TRUE,HKG,Asia Pacific,Hong Kong,52,15.74
38.207.132.2,38645,443,TRUE,HKG,Asia Pacific,Hong Kong,49,15.41
38.207.132.92,43678,443,TRUE,HKG,Asia Pacific,Hong Kong,52,15.13
38.207.132.92,31114,443,TRUE,HKG,Asia Pacific,Hong Kong,49,14.88
38.207.132.173,46962,443,TRUE,HKG,Asia Pacific,Hong Kong,49,14.7
38.207.132.99,22761,443,TRUE,HKG,Asia Pacific,Hong Kong,54,13.22
38.207.132.2,43330,443,TRUE,HKG,Asia Pacific,Hong Kong,38,13.17
38.207.132.250,12381,443,TRUE,HKG,Asia Pacific,Hong Kong,63,12.18
38.207.132.173,45448,443,TRUE,HKG,Asia Pacific,Hong Kong,63,11.6
